image,relative_path,style_classification,artist_attribution,timeframe_estimation,mode,date,additional_styles,artist_school,tags
paul-cezanne_bacchanalia-the-battle-of-love-1880.jpg,Post_Impressionism/paul-cezanne_bacchanalia-the-battle-of-love-1880.jpg,post_impressionism,paul-cezanne,1850-1900,train,1880.0,,french,mythology
paul-cezanne_large-pine.jpg,Post_Impressionism/paul-cezanne_large-pine.jpg,post_impressionism,paul-cezanne,1900-1950,train,1905.0,,french,"tree,branch,plant,botany,twig,woody plant,canoe birch"
paul-cezanne_self-portrait-in-front-of-olive-wallpaper-1881.jpg,Post_Impressionism/paul-cezanne_self-portrait-in-front-of-olive-wallpaper-1881.jpg,post_impressionism,paul-cezanne,1850-1900,train,1881.0,,french,
paul-cezanne_still-life-with-a-fruit-dish-and-apples.jpg,Post_Impressionism/paul-cezanne_still-life-with-a-fruit-dish-and-apples.jpg,post_impressionism,paul-cezanne,1850-1900,train,1880.0,,french,still life photography
paul-cezanne_still-life-with-pomegranate-and-pears-1893.jpg,Post_Impressionism/paul-cezanne_still-life-with-pomegranate-and-pears-1893.jpg,post_impressionism,paul-cezanne,1850-1900,train,1893.0,,french,still life photography
paul-cezanne_woods-with-millstone-1894.jpg,Post_Impressionism/paul-cezanne_woods-with-millstone-1894.jpg,post_impressionism,paul-cezanne,1850-1900,train,1894.0,,french,tree
pyotr-konchalovsky_a-man-with-a-guitar-1913.jpg,Post_Impressionism/pyotr-konchalovsky_a-man-with-a-guitar-1913.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1913.0,,russian,"musical instrument,string instrument,sketch,musician,plucked string instruments,music"
pyotr-konchalovsky_a-young-poser-from-the-village-samokrazhi-1928.jpg,Post_Impressionism/pyotr-konchalovsky_a-young-poser-from-the-village-samokrazhi-1928.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1928.0,,russian,male-portraits
pyotr-konchalovsky_girl-from-arles-1908-1.jpg,Post_Impressionism/pyotr-konchalovsky_girl-from-arles-1908-1.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,val,1908.0,,russian,"female-portraits,lady"
pyotr-konchalovsky_harvest-1923.jpg,Post_Impressionism/pyotr-konchalovsky_harvest-1923.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1923.0,,russian,"fields-and-plains,sporting group"
pyotr-konchalovsky_katya-with-a-dog.jpg,Post_Impressionism/pyotr-konchalovsky_katya-with-a-dog.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,,,russian,"animals,children,dogs,dog,canidae"
pyotr-konchalovsky_kazbek-early-morning-5-00-am-1927.jpg,Post_Impressionism/pyotr-konchalovsky_kazbek-early-morning-5-00-am-1927.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1927.0,,russian,"caucasus mountains,morning,mountains"
pyotr-konchalovsky_kutaisi-rionges-1935.jpg,Post_Impressionism/pyotr-konchalovsky_kutaisi-rionges-1935.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,val,1935.0,,russian,"caucasus mountains,mountains,tree,woody plant,plant"
pyotr-konchalovsky_mounds-the-park-1948.jpg,Post_Impressionism/pyotr-konchalovsky_mounds-the-park-1948.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1948.0,,russian,"forests-and-trees,tree,plant"
pyotr-konchalovsky_novgorod-returning-from-the-fair-1926.jpg,Post_Impressionism/pyotr-konchalovsky_novgorod-returning-from-the-fair-1926.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1926.0,,russian,"markets-and-shops,veliky novgorod,vehicle,coachman"
pyotr-konchalovsky_oranges-1908.jpg,Post_Impressionism/pyotr-konchalovsky_oranges-1908.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1908.0,,russian,"fruits-and-vegetables,still life photography,jug,serveware,drinkware"
pyotr-konchalovsky_palm-trees-and-geranium-1908.jpg,Post_Impressionism/pyotr-konchalovsky_palm-trees-and-geranium-1908.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1908.0,,russian,"gardens-and-parks,tree"
pyotr-konchalovsky_pine-tree-1920.jpg,Fauvism/pyotr-konchalovsky_pine-tree-1920.jpg,post_impressionism,pyotr-konchalovsky,1900-1950,train,1920.0,fauvism,russian,"forests-and-trees,tree,natural landscape,woody plant,plant"
salvador-dali_cadaques.jpg,Post_Impressionism/salvador-dali_cadaques.jpg,post_impressionism,salvador-dali,1900-1950,train,1923.0,,spanish,
salvador-dali_portrait-of-maria-carbona.jpg,Post_Impressionism/salvador-dali_portrait-of-maria-carbona.jpg,post_impressionism,salvador-dali,1900-1950,test,1925.0,,spanish,
vincent-van-gogh_haystacks-in-provence-1888.jpg,Post_Impressionism/vincent-van-gogh_haystacks-in-provence-1888.jpg,post_impressionism,vincent-van-gogh,1850-1900,train,1888.0,,dutch,"countryside,fields-and-plains,natural landscape,tree"
boris-kustodiev_portrait-of-pianist-rachel-slonimskaya-1922.jpg,Realism/boris-kustodiev_portrait-of-pianist-rachel-slonimskaya-1922.jpg,realism,boris-kustodiev,1900-1950,train,1922.0,,russian,"famous-people,female-portraits,rachel-slonimskaya,lady"
boris-kustodiev_portrait-of-vasily-vasilyevich-mate.jpg,Realism/boris-kustodiev_portrait-of-vasily-vasilyevich-mate.jpg,realism,boris-kustodiev,1900-1950,val,,,russian,"male-portraits,famous-people,vasily-vasilyevich-mate"
boris-kustodiev_portrait-of-y-e-kustodieva-1903.jpg,Realism/boris-kustodiev_portrait-of-y-e-kustodieva-1903.jpg,realism,boris-kustodiev,1900-1950,train,1903.0,,russian,"famous-people,female-portraits,y.e.-kustodieva,sketch,figure drawing,male,human,line"
boris-kustodiev_ride-1915.jpg,Realism/boris-kustodiev_ride-1915.jpg,realism,boris-kustodiev,1900-1950,train,1915.0,,russian,"hunting-and-racing,sketch,water"
boris-kustodiev_room-in-the-house-of-prokofy-pazukhin-1918.jpg,Realism/boris-kustodiev_room-in-the-house-of-prokofy-pazukhin-1918.jpg,realism,boris-kustodiev,1900-1950,train,1918.0,,russian,"fictional-characters,saltykov-shchedrin-""the-death-of-pazukhin"",prokofy-pazukhin"
camille-pissarro_antilian-landscape-st-thomas-1856.jpg,Realism/camille-pissarro_antilian-landscape-st-thomas-1856.jpg,realism,camille-pissarro,1850-1900,train,1856.0,,"french, jewish","nature,natural landscape,morning,atmospheric phenomenon,tree,sky"
camille-pissarro_father-melon-lighting-his-pipe.jpg,Realism/camille-pissarro_father-melon-lighting-his-pipe.jpg,realism,camille-pissarro,1850-1900,train,,,"french, jewish",tree
camille-pissarro_the-bohemian-s-wagon-1862.jpg,Realism/camille-pissarro_the-bohemian-s-wagon-1862.jpg,realism,camille-pissarro,1850-1900,train,1862.0,,"french, jewish","rural area,house,barn,sky"
camille-pissarro_view-of-l-hermitage-jallais-hills-pontoise.jpg,Realism/camille-pissarro_view-of-l-hermitage-jallais-hills-pontoise.jpg,realism,camille-pissarro,1850-1900,train,1867.0,,"french, jewish","rural area,village,mountain village,house"
camille-pissarro_view-of-marly-le-roi-1870.jpg,Realism/camille-pissarro_view-of-marly-le-roi-1870.jpg,realism,camille-pissarro,1850-1900,train,1870.0,,"french, jewish","meadow,rural area,pasture"
claude-monet_portrait-of-madame-gaudibert.jpg,Realism/claude-monet_portrait-of-madame-gaudibert.jpg,realism,claude-monet,1850-1900,train,1868.0,,french,"lady,victorian fashion,costume design"
eugene-boudin_le-havre-avent-port-1866.jpg,Realism/eugene-boudin_le-havre-avent-port-1866.jpg,realism,eugene-boudin,1850-1900,train,1866.0,,french,"boats-and-ships,seas-and-oceans,normandy,vehicle,boat,flagship,watercraft,sailing ship,ship,east indiaman,ship of the line,frigate,first-rate"
eugene-boudin_trouville-1864.jpg,Realism/eugene-boudin_trouville-1864.jpg,realism,eugene-boudin,1850-1900,train,1864.0,,french,"rivers-and-waterfalls,normandy,trouville,waterway,sky,bank"
ilya-repin_portrait-of-t-p-chaplygin-a-cousin-of-ilya-repin-1877.jpg,Realism/ilya-repin_portrait-of-t-p-chaplygin-a-cousin-of-ilya-repin-1877.jpg,realism,ilya-repin,1850-1900,train,1877.0,,russian,"beard,facial hair"
ilya-repin_portrait-of-the-art-critic-vladimir-stasov-1873.jpg,Realism/ilya-repin_portrait-of-the-art-critic-vladimir-stasov-1873.jpg,realism,ilya-repin,1850-1900,train,1873.0,,russian,"gentleman,facial hair,beard"
ilya-repin_portrait-of-the-artist-isaak-brodskiy-1910.jpg,Realism/ilya-repin_portrait-of-the-artist-isaak-brodskiy-1910.jpg,realism,ilya-repin,1900-1950,val,1910.0,,russian,"gentleman,male"
ilya-repin_portrait-of-the-narratorb-of-the-folk-tales-v-tschegolionkov-1879.jpg,Realism/ilya-repin_portrait-of-the-narratorb-of-the-folk-tales-v-tschegolionkov-1879.jpg,realism,ilya-repin,1850-1900,train,1878.0,,russian,gentleman
ilya-repin_self-portrait-1920.jpg,Realism/ilya-repin_self-portrait-1920.jpg,realism,ilya-repin,1900-1950,train,1920.0,,russian,
ilya-repin_sketch-for-the-painting-ceremonial-meeting-of-the-state-council-on-may-7-1901-1903.jpg,Realism/ilya-repin_sketch-for-the-painting-ceremonial-meeting-of-the-state-council-on-may-7-1901-1903.jpg,realism,ilya-repin,1900-1950,train,1903.0,,russian,
ilya-repin_the-surgeon-e-pavlov-in-the-operating-theater-1888.jpg,Realism/ilya-repin_the-surgeon-e-pavlov-in-the-operating-theater-1888.jpg,realism,ilya-repin,1850-1900,train,1888.0,,russian,event
ilya-repin_zaporizhian-colonel-1880.jpg,Realism/ilya-repin_zaporizhian-colonel-1880.jpg,realism,ilya-repin,1850-1900,val,1880.0,,russian,
ilya-repin_zaporozhets.jpg,Realism/ilya-repin_zaporozhets.jpg,realism,ilya-repin,1850-1900,train,,,russian,
ivan-shishkin_forest-cutting.jpg,Realism/ivan-shishkin_forest-cutting.jpg,realism,ivan-shishkin,1850-1900,train,,,russian,"forests-and-trees,sketch,tree,botany,plant,forest,branch,woody plant"
ivan-shishkin_forest-glade-glade-1897.jpg,Realism/ivan-shishkin_forest-glade-glade-1897.jpg,realism,ivan-shishkin,1850-1900,train,1897.0,,russian,"forests-and-trees,natural landscape,vegetation,nature,tree,natural environment,nature reserve,biome,meadow,grass"
ivan-shishkin_forest-in-mordvinovo-1891.jpg,Realism/ivan-shishkin_forest-in-mordvinovo-1891.jpg,realism,ivan-shishkin,1850-1900,train,1891.0,,russian,"forests-and-trees,mordvinovo,tree,forest,spruce-fir forest,old-growth forest,tropical and subtropical coniferous forests,natural environment,natural landscape,woodland,nature reserve,vegetation"
ivan-shishkin_forest-road-1892.jpg,Realism/ivan-shishkin_forest-road-1892.jpg,realism,ivan-shishkin,1850-1900,train,1892.0,,russian,"roads-and-vehicles,forests-and-trees,tree,forest,woodland,natural environment,northern hardwood forest,nature,old-growth forest,natural landscape,trunk"
ivan-shishkin_gathering-storm-1884.jpg,Realism/ivan-shishkin_gathering-storm-1884.jpg,realism,ivan-shishkin,1850-1900,train,1884.0,,russian,"storm-and-tempest,lakes-and-ponds,forests-and-trees,natural landscape,nature,sky,natural environment,tree,cloud,wilderness,grass,atmospheric phenomenon"
ivan-shishkin_grove-by-the-pond-preobrazhenskoye-1896.jpg,Realism/ivan-shishkin_grove-by-the-pond-preobrazhenskoye-1896.jpg,realism,ivan-shishkin,1850-1900,train,1896.0,,russian,"lakes-and-ponds,forests-and-trees,preobrazhenskoye,tree,nature,natural landscape,natural environment,woody plant,biome,plant,meadow,sky,grove"
ivan-shishkin_herd-of-sheep-under-an-oak-tree-1863.jpg,Realism/ivan-shishkin_herd-of-sheep-under-an-oak-tree-1863.jpg,realism,ivan-shishkin,1850-1900,train,1863.0,,russian,"animals,forests-and-trees,sheep,sketch,botany,tree,organism"
ivan-shishkin_in-crimea.jpg,Realism/ivan-shishkin_in-crimea.jpg,realism,ivan-shishkin,1850-1900,train,,,russian,"forests-and-trees,crimea,tree,nature,woodland,natural landscape,natural environment,forest,biome"
ivan-shishkin_in-the-birch-tree-forest-1883.jpg,Realism/ivan-shishkin_in-the-birch-tree-forest-1883.jpg,realism,ivan-shishkin,1850-1900,train,1883.0,,russian,"rivers-and-waterfalls,forests-and-trees,tree,forest,natural landscape,woodland,natural environment,spruce-fir forest,old-growth forest,nature,tropical and subtropical coniferous forests,northern hardwood forest"
ivan-shishkin_in-winter-1883.jpg,Realism/ivan-shishkin_in-winter-1883.jpg,realism,ivan-shishkin,1850-1900,train,1883.0,,russian,"winter,snow-and-blizzard,forests-and-trees,tree,spruce-fir forest,forest,old-growth forest,snow,tropical and subtropical coniferous forests,woodland,natural environment,biome"
ivan-shishkin_path-in-the-forest-1871.jpg,Realism/ivan-shishkin_path-in-the-forest-1871.jpg,realism,ivan-shishkin,1850-1900,val,1871.0,,russian,"forests-and-trees,cliffs-and-rocks,tree,water,monochrome,forest,leaf,woody plant"
ivan-shishkin_pine-forest-1885.jpg,Realism/ivan-shishkin_pine-forest-1885.jpg,realism,ivan-shishkin,1850-1900,val,1885.0,,russian,"forests-and-trees,tree,forest,natural environment,nature,natural landscape,tropical and subtropical coniferous forests,spruce-fir forest,old-growth forest,woodland,vegetation"
ivan-shishkin_view-of-the-yelabuga-1861.jpg,Realism/ivan-shishkin_view-of-the-yelabuga-1861.jpg,realism,ivan-shishkin,1850-1900,train,1861.0,,russian,"houses-and-buildings,forests-and-trees,yelabuga,sketch,line"
ivan-shishkin_young-crop-of-nuts.jpg,Realism/ivan-shishkin_young-crop-of-nuts.jpg,realism,ivan-shishkin,1850-1900,train,,,russian,"flowers-and-plants,forests-and-trees,leaf,botany,tree,plant"
john-singer-sargent_a-backwater-at-wargrave-1887.jpg,Realism/john-singer-sargent_a-backwater-at-wargrave-1887.jpg,realism,john-singer-sargent,1850-1900,train,1887.0,,american,"rivers-and-waterfalls,forests-and-trees,nature,tree,vegetation,reflection,water,branch,woody plant,plant,sunlight"
john-singer-sargent_a-mountain-stream-tyrol-1914.jpg,Realism/john-singer-sargent_a-mountain-stream-tyrol-1914.jpg,realism,john-singer-sargent,1900-1950,val,1914.0,,american,"rivers-and-waterfalls,mountains,water,stream,watercourse,water resources,natural landscape,rapid,river,mountain river"
john-singer-sargent_a-rose-trellis-roses-at-oxfordshire.jpg,Realism/john-singer-sargent_a-rose-trellis-roses-at-oxfordshire.jpg,realism,john-singer-sargent,1850-1900,train,1886.0,,american,"flowers-and-plants,flower,plant,pink,tree,spring,botany,branch,leaf,flowering plant"
john-singer-sargent_ada-rehan-1894.jpg,Realism/john-singer-sargent_ada-rehan-1894.jpg,realism,john-singer-sargent,1850-1900,train,1894.0,,american,"famous-people,female-portraits,lady"
john-singer-sargent_alice-vanderbilt-shepard-1888.jpg,Realism/john-singer-sargent_alice-vanderbilt-shepard-1888.jpg,realism,john-singer-sargent,1850-1900,train,1888.0,,american,"famous-people,female-portraits,lady,gentleman"
john-singer-sargent_jean-joseph-marie-carri.jpg,Realism/john-singer-sargent_jean-joseph-marie-carri.jpg,realism,john-singer-sargent,1850-1900,train,1880.0,,american,"male-portraits,famous-people,chin,gentleman"
john-singer-sargent_mrs-ernest-g-raphael-florence-cecilia-sassoon-1905.jpg,Realism/john-singer-sargent_mrs-ernest-g-raphael-florence-cecilia-sassoon-1905.jpg,realism,john-singer-sargent,1900-1950,train,1905.0,,american,"famous-people,female-portraits,lady"
john-singer-sargent_olimpio-fusco.jpg,Realism/john-singer-sargent_olimpio-fusco.jpg,realism,john-singer-sargent,1900-1950,train,,,american,"male-portraits,face,hair,sketch,head,chin,eyebrow,hairstyle"
john-singer-sargent_polly-barnard-also-known-as-study-for-carnation-lily-lily-rose.jpg,Realism/john-singer-sargent_polly-barnard-also-known-as-study-for-carnation-lily-lily-rose.jpg,realism,john-singer-sargent,1850-1900,train,1885.0,,american,"famous-people,female-portraits,face,sketch,nose,head,chin,figure drawing"
john-singer-sargent_portrait-of-gordon-fairchild-1890.jpg,Realism/john-singer-sargent_portrait-of-gordon-fairchild-1890.jpg,realism,john-singer-sargent,1850-1900,val,1890.0,,american,"famous-people,children portraits"
john-singer-sargent_portrait-of-sir-max-michaelis-1925.jpg,Realism/john-singer-sargent_portrait-of-sir-max-michaelis-1925.jpg,realism,john-singer-sargent,1900-1950,train,1925.0,,american,"male-portraits,famous-people,sketch,chin,forehead,jaw"
john-singer-sargent_rose-marie-ormond-1912.jpg,Realism/john-singer-sargent_rose-marie-ormond-1912.jpg,realism,john-singer-sargent,1900-1950,train,1912.0,,american,"famous-people,female-portraits,lady"
martiros-saryan_cliff-in-the-slope-of-aragats-1958.jpg,Realism/martiros-saryan_cliff-in-the-slope-of-aragats-1958.jpg,realism,martiros-sarian,1950-2000,train,1958.0,,armenian,"mountains,mountainous landforms,mountain"
martiros-saryan_landscape-of-armenia-1972.jpg,Realism/martiros-saryan_landscape-of-armenia-1972.jpg,realism,martiros-sarian,1950-2000,train,1972.0,,armenian,"mountains,branch,tree,botany,water,slope,organism,line"
nicholas-roerich_smolensk-walls-1910.jpg,Realism/nicholas-roerich_smolensk-walls-1910.jpg,realism,nicholas-roerich,1900-1950,train,1910.0,,russian,"castles-and-fortresses,smolensk,holy places,history,stock photography"
nicholas-roerich_study-of-female-nude-1895.jpg,Realism/nicholas-roerich_study-of-female-nude-1895.jpg,realism,nicholas-roerich,1850-1900,val,1895.0,,russian,"female-nude,lady"
pyotr-konchalovsky_fire-1930.jpg,Realism/pyotr-konchalovsky_fire-1930.jpg,realism,pyotr-konchalovsky,1900-1950,train,1930.0,,russian,fires-and-floods
pyotr-konchalovsky_katya-with-grains-1933.jpg,Realism/pyotr-konchalovsky_katya-with-grains-1933.jpg,realism,pyotr-konchalovsky,1900-1950,train,1933.0,,russian,children
pyotr-konchalovsky_poppies-1955.jpg,Realism/pyotr-konchalovsky_poppies-1955.jpg,realism,pyotr-konchalovsky,1950-2000,train,1955.0,,russian,"flowers-and-plants,gardens-and-parks,flower,flowering plant,plant,oriental poppy,coquelicot,corn poppy,wildflower,botany"
pyotr-konchalovsky_portrait-of-alexander-alexandrovich-fadeyev-1941.jpg,Realism/pyotr-konchalovsky_portrait-of-alexander-alexandrovich-fadeyev-1941.jpg,realism,pyotr-konchalovsky,1900-1950,train,1941.0,,russian,"male-portraits,gentleman"
pyotr-konchalovsky_portrait-of-dolgintsev-1895.jpg,Realism/pyotr-konchalovsky_portrait-of-dolgintsev-1895.jpg,realism,pyotr-konchalovsky,1850-1900,train,1895.0,,russian,"male-portraits,gentleman"
vincent-van-gogh_peasant-with-sickle-seen-from-the-back-1885-1.jpg,Realism/vincent-van-gogh_peasant-with-sickle-seen-from-the-back-1885-1.jpg,realism,vincent-van-gogh,1850-1900,test,1885.0,,dutch,"handwork,sketch"
ivan-aivazovsky_battle-of-chesma-1886.jpg,Romanticism/ivan-aivazovsky_battle-of-chesma-1886.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1886.0,,"russian, armenian","boats-and-ships,seas-and-oceans,twilight-and-night,battles-and-wars,fire,sky,heat,event"
ivan-aivazovsky_boat-at-sea-1894.jpg,Romanticism/ivan-aivazovsky_boat-at-sea-1894.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1894.0,,"russian, armenian","boats-and-ships,seas-and-oceans,sky,sea"
ivan-aivazovsky_calm-sea-1876.jpg,Romanticism/ivan-aivazovsky_calm-sea-1876.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1876.0,,"russian, armenian","boats-and-ships,seas-and-oceans,sky,atmospheric phenomenon,sea,cloud,calm,atmosphere"
ivan-aivazovsky_cloud-over-the-calm-sea-1877.jpg,Romanticism/ivan-aivazovsky_cloud-over-the-calm-sea-1877.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1877.0,,"russian, armenian","seas-and-oceans,sky,cloud,cumulus,calm"
ivan-aivazovsky_fishermen-on-the-shore.jpg,Romanticism/ivan-aivazovsky_fishermen-on-the-shore.jpg,romanticism,ivan-aivazovsky,1850-1900,train,,,"russian, armenian","sunrise-and-sunset,boats-and-ships,seas-and-oceans,sky,vehicle,boat,sailing ship,ship of the line,watercraft,ship,calm,east indiaman"
ivan-aivazovsky_lunar-night-at-the-spring-1877.jpg,Romanticism/ivan-aivazovsky_lunar-night-at-the-spring-1877.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1877.0,,"russian, armenian","sun-and-moon,twilight-and-night,cliffs-and-rocks"
ivan-aivazovsky_moonlit-night-near-yalta-1863.jpg,Romanticism/ivan-aivazovsky_moonlit-night-near-yalta-1863.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1863.0,,"russian, armenian","sun-and-moon,seas-and-oceans,twilight-and-night,islands-and-bays,yalta,crimea,mountains,nature,sky,natural landscape,atmospheric phenomenon,tree,morning,atmosphere,sunlight"
ivan-aivazovsky_night-near-yalta-1866.jpg,Romanticism/ivan-aivazovsky_night-near-yalta-1866.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1866.0,,"russian, armenian","houses-and-buildings,seas-and-oceans,yalta,crimea,mountains,sky,atmosphere,cloud"
ivan-aivazovsky_ox-cart-crossing-a-flooded-plain-1897.jpg,Romanticism/ivan-aivazovsky_ox-cart-crossing-a-flooded-plain-1897.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1897.0,,"russian, armenian","countryside,fields-and-plains,sky,atmospheric phenomenon,tree,atmosphere"
ivan-aivazovsky_russian-squadron-on-the-raid-of-sevastopol-1846.jpg,Romanticism/ivan-aivazovsky_russian-squadron-on-the-raid-of-sevastopol-1846.jpg,romanticism,ivan-aivazovsky,1800-1850,train,1846.0,,"russian, armenian","boats-and-ships,celebrations-and-festivals,seas-and-oceans,islands-and-bays,sevastopol,crimea,tall ship,boat,vehicle,sky,watercraft,ship,clipper,east indiaman,sailing ship"
ivan-aivazovsky_sea-1898.jpg,Romanticism/ivan-aivazovsky_sea-1898.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1898.0,,"russian, armenian","boats-and-ships,seas-and-oceans,sky,boat,vehicle,sea,ocean,wind wave,watercraft,calm,sailboat"
ivan-aivazovsky_sea-at-night.jpg,Romanticism/ivan-aivazovsky_sea-at-night.jpg,romanticism,ivan-aivazovsky,1850-1900,train,,,"russian, armenian","sun-and-moon,boats-and-ships,seas-and-oceans,twilight-and-night,sky,sea,ocean,calm,vehicle"
ivan-aivazovsky_seascape-1.jpg,Romanticism/ivan-aivazovsky_seascape-1.jpg,romanticism,ivan-aivazovsky,1850-1900,train,,,"russian, armenian","sunrise-and-sunset,boats-and-ships,seas-and-oceans,mountains,sky,sea,boat,ocean,vehicle"
ivan-aivazovsky_ship-at-sea-1870.jpg,Romanticism/ivan-aivazovsky_ship-at-sea-1870.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1870.0,,"russian, armenian","boats-and-ships,seas-and-oceans,vehicle,boat,watercraft,ship,clipper,sky,ship of the line,sailing ship,frigate,east indiaman"
ivan-aivazovsky_yalta-1878.jpg,Romanticism/ivan-aivazovsky_yalta-1878.jpg,romanticism,ivan-aivazovsky,1850-1900,train,1878.0,,"russian, armenian","boats-and-ships,seas-and-oceans,islands-and-bays,yalta,crimea,mountains,crimean-mountains,sky,sea,wave,wind wave,ocean,coast,cloud,tide"
rembrandt_a-bearded-man-in-a-cap-1657.jpg,Baroque/rembrandt_a-bearded-man-in-a-cap-1657.jpg,baroque,rembrandt,1650-1700,train,1657.0,,dutch,facial hair
rembrandt_a-beggar-and-a-companion-piece-turned-to-the-right-1634.jpg,Baroque/rembrandt_a-beggar-and-a-companion-piece-turned-to-the-right-1634.jpg,baroque,rembrandt,1600-1650,train,1634.0,,dutch,sketch
rembrandt_a-beggar-sitting-in-an-elbow-chair-1630.jpg,Baroque/rembrandt_a-beggar-sitting-in-an-elbow-chair-1630.jpg,baroque,rembrandt,1600-1650,train,1630.0,,dutch,"figure drawing,sketch"
rembrandt_a-beggar-standing-and-leaning-on-a-stick-1632.jpg,Baroque/rembrandt_a-beggar-standing-and-leaning-on-a-stick-1632.jpg,baroque,rembrandt,1600-1650,train,1632.0,,dutch,"sketch,figure drawing"
rembrandt_a-beggar-warming-his-hands-over-a-chafing-dish-1630.jpg,Baroque/rembrandt_a-beggar-warming-his-hands-over-a-chafing-dish-1630.jpg,baroque,rembrandt,1600-1650,train,1630.0,,dutch,"sketch,text"
rembrandt_a-beggar-with-a-wooden-leg-1630.jpg,Baroque/rembrandt_a-beggar-with-a-wooden-leg-1630.jpg,baroque,rembrandt,1600-1650,train,1630.0,,dutch,"sketch,figure drawing"
rembrandt_a-bust-of-an-old-man-1633.jpg,Baroque/rembrandt_a-bust-of-an-old-man-1633.jpg,baroque,rembrandt,1600-1650,train,1633.0,,dutch,
rembrandt_a-cavalry-fight-1632.jpg,Baroque/rembrandt_a-cavalry-fight-1632.jpg,baroque,rembrandt,1600-1650,train,1632.0,,dutch,"battles-and-wars,horsemen,botany"
rembrandt_a-cottage-with-white-pales-1642.jpg,Baroque/rembrandt_a-cottage-with-white-pales-1642.jpg,baroque,rembrandt,1600-1650,test,1642.0,,dutch,"sketch,tree"
rembrandt_a-franciscan-friar-1659.jpg,Baroque/rembrandt_a-franciscan-friar-1659.jpg,baroque,rembrandt,1650-1700,train,1659.0,,dutch,"male-portraits,friars-and-monks"
rembrandt_a-jew-with-the-high-cap-1639.jpg,Baroque/rembrandt_a-jew-with-the-high-cap-1639.jpg,baroque,rembrandt,1600-1650,train,1639.0,,dutch,"sketch,standing"
